                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.88993,                0.69666,                 1.1361,                0.84475,                0.78299,                0.84831,                0.59909,                0.96318,                0.74039,                 1.1209,              0.0006634,              0.0006634,              0.0006634
                     36,                0.86079,                0.68316,                 1.1218,                0.84865,                0.78044,                0.84387,                0.60035,                0.96801,                 0.7164,                 1.1207,              0.0006535,              0.0006535,              0.0006535
                     37,                0.87089,                0.67998,                 1.1225,                0.85478,                0.78679,                 0.8432,                0.60453,                0.96375,                 0.7129,                 1.1253,              0.0006436,              0.0006436,              0.0006436
                     38,                0.88145,                0.67119,                 1.1227,                0.85134,                0.78558,                0.84501,                 0.5974,                0.98119,                 0.7133,                 1.1299,              0.0006337,              0.0006337,              0.0006337
                     39,                0.85765,                0.66022,                 1.1134,                0.86592,                0.78205,                0.85162,                0.60998,                0.95438,                0.69327,                 1.1159,              0.0006238,              0.0006238,              0.0006238
                     40,                0.86298,                 0.6573,                 1.1188,                0.83909,                0.78705,                0.85106,                0.60638,                0.96764,                0.71858,                 1.1267,              0.0006139,              0.0006139,              0.0006139
                     41,                0.84106,                0.64194,                 1.1097,                0.87862,                0.79379,                0.87156,                 0.6219,                0.94845,                0.68907,                 1.1101,               0.000604,               0.000604,               0.000604
                     42,                0.81259,                0.63965,                 1.1145,                0.87517,                0.80051,                0.86569,                0.62333,                0.94288,                0.67097,                 1.1086,              0.0005941,              0.0005941,              0.0005941
                     43,                0.84973,                0.64722,                 1.1047,                0.88799,                0.79827,                0.86415,                0.62526,                0.93256,                0.68075,                 1.0966,              0.0005842,              0.0005842,              0.0005842
                     44,                0.82451,                0.61931,                 1.0998,                0.86598,                0.81113,                0.85651,                0.61299,                0.95327,                0.67737,                 1.1146,              0.0005743,              0.0005743,              0.0005743
                     45,                0.83714,                0.63522,                 1.1038,                0.89506,                0.79217,                0.86702,                0.62257,                0.94306,                0.66188,                 1.1065,              0.0005644,              0.0005644,              0.0005644
                     46,                0.83752,                0.62833,                 1.0952,                0.85752,                0.81648,                0.86623,                0.63156,                0.93698,                0.65063,                 1.0972,              0.0005545,              0.0005545,              0.0005545
                     47,                0.81348,                0.60809,                 1.1001,                 0.8603,                0.80998,                0.86468,                0.62852,                0.93275,                0.64071,                 1.0872,              0.0005446,              0.0005446,              0.0005446
                     48,                0.80281,                 0.6076,                 1.0913,                 0.8874,                0.80193,                0.86699,                0.63586,                0.92336,                0.64673,                 1.0882,              0.0005347,              0.0005347,              0.0005347
                     49,                0.81362,                0.60465,                 1.0884,                0.85959,                0.82591,                0.86907,                0.62272,                0.93501,                0.64555,                 1.0927,              0.0005248,              0.0005248,              0.0005248
                     50,                0.82029,                0.61509,                  1.099,                0.88143,                0.81987,                0.87254,                0.62863,                0.92763,                0.62898,                  1.096,              0.0005149,              0.0005149,              0.0005149
                     51,                0.79082,                0.58994,                 1.0857,                0.88083,                0.80995,                 0.8638,                0.63026,                0.91514,                0.65642,                 1.0833,               0.000505,               0.000505,               0.000505
                     52,                 0.7947,                0.59131,                 1.0864,                0.87283,                 0.8346,                0.87491,                  0.632,                 0.9237,                0.65456,                  1.093,              0.0004951,              0.0004951,              0.0004951
                     53,                0.80647,                0.58686,                 1.0794,                0.88328,                0.79916,                0.86231,                0.62778,                0.93821,                0.64354,                 1.0921,              0.0004852,              0.0004852,              0.0004852
                     54,                0.80918,                0.57731,                  1.082,                0.87463,                0.81266,                0.87375,                0.64392,                0.91707,                0.61674,                 1.0827,              0.0004753,              0.0004753,              0.0004753
                     55,                0.79291,                0.57279,                 1.0725,                0.87201,                0.81285,                0.87134,                 0.6295,                0.93877,                0.64148,                 1.0998,              0.0004654,              0.0004654,              0.0004654
                     56,                0.79253,                0.57232,                 1.0754,                0.88438,                 0.8264,                0.87454,                0.64163,                0.91262,                0.62115,                 1.0757,              0.0004555,              0.0004555,              0.0004555
                     57,                0.78078,                0.56967,                 1.0728,                0.88979,                0.81864,                0.88223,                0.65328,                 0.8912,                0.60905,                 1.0658,              0.0004456,              0.0004456,              0.0004456
                     58,                0.79463,                0.57156,                 1.0775,                0.88482,                0.81729,                0.87439,                0.64696,                0.90957,                0.61658,                 1.0749,              0.0004357,              0.0004357,              0.0004357
                     59,                0.76099,                0.55136,                 1.0674,                0.86404,                0.81764,                0.87556,                 0.6448,                 0.9044,                0.60472,                 1.0664,              0.0004258,              0.0004258,              0.0004258
                     60,                0.75003,                0.54359,                 1.0634,                  0.879,                0.81043,                 0.8708,                 0.6454,                0.90449,                0.60812,                 1.0765,              0.0004159,              0.0004159,              0.0004159
                     61,                0.77956,                0.56372,                  1.071,                0.88361,                0.80915,                0.86707,                 0.6383,                0.90337,                0.61805,                  1.071,               0.000406,               0.000406,               0.000406
                     62,                0.77338,                0.55075,                 1.0621,                0.87669,                0.82812,                0.87764,                0.65263,                0.88888,                0.60512,                 1.0598,              0.0003961,              0.0003961,              0.0003961
                     63,                0.76041,                0.55091,                  1.059,                0.90854,                0.80808,                0.87745,                0.65239,                0.89164,                0.59845,                 1.0605,              0.0003862,              0.0003862,              0.0003862
                     64,                0.74555,                0.53613,                 1.0598,                0.90299,                0.81649,                 0.8786,                0.65108,                0.89431,                0.58732,                 1.0703,              0.0003763,              0.0003763,              0.0003763
                     65,                0.75708,                0.53554,                 1.0575,                0.89826,                0.80222,                0.87342,                 0.6415,                0.90227,                0.60081,                 1.0696,              0.0003664,              0.0003664,              0.0003664
                     66,                0.77039,                0.54338,                 1.0562,                0.87995,                0.81185,                0.87541,                0.64617,                0.89255,                0.61483,                   1.06,              0.0003565,              0.0003565,              0.0003565
                     67,                0.74672,                0.54012,                 1.0525,                0.89738,                0.80601,                0.87937,                0.65119,                0.89148,                0.60947,                 1.0614,              0.0003466,              0.0003466,              0.0003466
                     68,                0.76771,                 0.5497,                 1.0599,                0.90715,                0.81847,                0.88402,                0.65453,                 0.8831,                0.58953,                 1.0571,              0.0003367,              0.0003367,              0.0003367
                     69,                0.74635,                0.52627,                 1.0494,                0.88155,                 0.8348,                 0.8814,                0.65159,                0.89067,                0.58746,                 1.0651,              0.0003268,              0.0003268,              0.0003268
                     70,                0.73604,                0.52543,                 1.0503,                0.88394,                0.81204,                0.87798,                0.64867,                0.89103,                0.58662,                 1.0656,              0.0003169,              0.0003169,              0.0003169
                     71,                 0.7139,                0.50813,                 1.0472,                0.88355,                0.82906,                0.88041,                0.65612,                0.88304,                0.58417,                 1.0657,               0.000307,               0.000307,               0.000307
                     72,                0.71866,                0.51507,                 1.0444,                0.90864,                0.82715,                0.89522,                0.66898,                0.87663,                0.58173,                 1.0603,              0.0002971,              0.0002971,              0.0002971
                     73,                0.72545,                0.51036,                 1.0417,                 0.8887,                0.82007,                 0.8763,                 0.6518,                0.87966,                0.58386,                 1.0533,              0.0002872,              0.0002872,              0.0002872
                     74,                0.75399,                0.52259,                 1.0447,                0.89547,                0.81734,                0.87778,                0.66143,                 0.8761,                0.58888,                 1.0516,              0.0002773,              0.0002773,              0.0002773
                     75,                0.72566,                0.51528,                 1.0452,                 0.8809,                0.83615,                0.88114,                0.66182,                0.87046,                0.58625,                 1.0491,              0.0002674,              0.0002674,              0.0002674
                     76,                0.72627,                0.51079,                  1.038,                0.91391,                0.81673,                0.88517,                0.66089,                0.86937,                0.56313,                 1.0506,              0.0002575,              0.0002575,              0.0002575
                     77,                0.72529,                0.50793,                 1.0412,                0.88654,                0.83798,                 0.8875,                0.66174,                0.86829,                0.56607,                 1.0504,              0.0002476,              0.0002476,              0.0002476
                     78,                0.70855,                0.49922,                 1.0349,                0.91032,                 0.8263,                0.88519,                0.65698,                0.87319,                0.56081,                 1.0479,              0.0002377,              0.0002377,              0.0002377
                     79,                0.70496,                 0.4918,                 1.0307,                0.89506,                0.83096,                0.88894,                0.66116,                0.86661,                0.56631,                 1.0469,              0.0002278,              0.0002278,              0.0002278
                     80,                0.71754,                0.49699,                 1.0379,                0.90187,                 0.8228,                0.88635,                0.66466,                0.86195,                0.56832,                 1.0432,              0.0002179,              0.0002179,              0.0002179
                     81,                0.71196,                0.49275,                 1.0337,                0.91226,                0.82254,                0.88744,                0.66689,                0.85571,                0.56772,                 1.0421,               0.000208,               0.000208,               0.000208
                     82,                0.69483,                0.48629,                 1.0326,                0.91618,                0.82029,                0.88586,                0.66208,                0.86611,                0.56882,                  1.045,              0.0001981,              0.0001981,              0.0001981
                     83,                0.71391,                0.50137,                 1.0339,                0.90401,                0.81786,                0.88219,                0.66203,                0.85845,                0.56724,                 1.0443,              0.0001882,              0.0001882,              0.0001882
                     84,                0.70186,                0.48332,                 1.0331,                0.91197,                0.82149,                0.88348,                0.66932,                0.85465,                0.56047,                  1.041,              0.0001783,              0.0001783,              0.0001783
                     85,                0.68391,                0.47892,                 1.0218,                0.91985,                0.82596,                 0.8895,                0.66862,                0.86215,                  0.555,                 1.0476,              0.0001684,              0.0001684,              0.0001684
                     86,                0.70299,                0.47882,                 1.0266,                0.90889,                0.82486,                0.88766,                0.67156,                0.84693,                 0.5624,                 1.0305,              0.0001585,              0.0001585,              0.0001585
                     87,                0.70063,                0.48686,                 1.0253,                0.90058,                0.82629,                0.88708,                0.66943,                 0.8534,                0.56014,                 1.0396,              0.0001486,              0.0001486,              0.0001486
                     88,                0.71163,                0.47917,                 1.0252,                0.88925,                0.84115,                0.88675,                0.66993,                0.84907,                0.55951,                 1.0365,              0.0001387,              0.0001387,              0.0001387
                     89,                0.68942,                0.47219,                 1.0159,                 0.9203,                0.81419,                0.88878,                0.67053,                 0.8487,                0.55594,                 1.0348,              0.0001288,              0.0001288,              0.0001288
                     90,                0.67469,                0.46475,                 1.0242,                0.91316,                0.82967,                0.89585,                0.67635,                0.84541,                0.55192,                 1.0333,              0.0001189,              0.0001189,              0.0001189
                     91,                0.70013,                0.44769,                 0.9913,                0.90661,                0.81847,                 0.8861,                0.66822,                0.85487,                0.56847,                  1.044,               0.000109,               0.000109,               0.000109
                     92,                0.67535,                0.41966,                0.97943,                0.89446,                0.82633,                 0.8844,                0.67668,                0.84174,                0.55318,                 1.0334,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                 0.6861,                0.42262,                0.98431,                0.89264,                0.83241,                 0.8861,                0.67612,                 0.8406,                0.54861,                 1.0331,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.68666,                0.41846,                 0.9837,                0.88456,                0.84011,                0.89238,                0.67632,                0.83367,                0.54722,                 1.0296,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.67341,                0.40962,                0.97297,                 0.8888,                0.83813,                0.88891,                0.67731,                0.83413,                0.54314,                 1.0293,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.66621,                0.40813,                0.97205,                0.90883,                0.82509,                0.89201,                0.67799,                0.83218,                 0.5351,                 1.0283,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.65244,                0.39832,                 0.9657,                0.89702,                0.83408,                0.89172,                0.67935,                0.82651,                0.53324,                 1.0252,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.66058,                0.40334,                0.97506,                0.87636,                 0.8525,                0.89315,                0.67903,                0.83213,                 0.5375,                  1.029,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.65125,                0.39553,                0.96542,                0.87801,                0.84757,                0.89136,                0.67663,                0.83079,                0.53172,                 1.0275,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                 0.6537,                0.39481,                0.97262,                0.88999,                 0.8445,                0.89373,                0.67863,                0.83042,                0.52939,                 1.0274,               1.99e-05,               1.99e-05,               1.99e-05
